name,description
aks-cluster-clusteradmin, cluster administrators
aks-cluster-clusteroperator, cluster operators
aks-cluster-clusterviewer, cluster view only
aks-cluster-namespaceadmin, namespace administrators
aks-cluster-namespaceoperator, namespace operators
aks-cluster-namespaceviewer, namespace apps viewe only
